benchmark,Auto-Index compile time [s],Auto-Index runtime [ms],Auto-Index memory [kb],Auto-Index #index,Auto-Index exit code,Naive-Index compile time [s],Naive-Index runtime [ms],Naive-Index memory [kb],Naive-Index #index,Naive-Index exit code,Single-Index compile time [s],Single-Index runtime [ms],Single-Index memory [kb],Single-Index #index,Single-Index exit code,bddbddb runtime [ms],bddbddb memory [kb],"bddbddb exit_code (0=OK,1=Translation Error, 124=Timeout)",z3 runtime [ms],z3 memory [kb],"z3 exit_code (0=OK,1=Translation Error, 124=Timeout)"
access-policy,3.945568841,934310,419144,10,0,4.27931759,473640,849800,18,0,3.73736582,314490,270208,0,0,1800600,3141000,124,10750,884784,0
access1,3.170251188,497960,100668,10,0,3.390682858,516240,162572,16,0,2.797870816,483160,79996,0,0,1800000,456096,124,1800000,118052,124
access2,4.286257913,230900,5136444,12,0,5.359956397,497210,8896384,24,0,3.075366662,1800120,3212280,0,124,1800020,3158196,124,1552340,8280132,0
access3,4.257260307,246940,5367336,12,0,5.377473728,510610,9653904,24,0,3.292314169,1800030,3359764,0,124,1800020,3154280,124,1655530,8428840,0
cellular_automata,4.946139819,455870,120696,20,0,4.935750709,461250,170204,27,0,4.592038581,463570,120516,0,0,1800820,3166616,124,0,8528,1
components,4.02272749,459170,10300,19,0,4.017045929,456380,14284,37,0,3.999473157,445540,10292,0,0,406670,481004,0,1800000,638612,124
cprog1,2.965845299,466940,31436,5,0,2.930697942,479060,59504,8,0,2.888894217,466890,31536,0,0,1801760,3166756,124,0,8692,1
cprog2,2.994701864,481980,7592,4,0,2.948216453,457740,11872,8,0,2.939298602,484680,7648,0,0,1801310,3168944,124,0,8760,1
cprog3,2.873750709,264300,10878288,3,0,2.907608396,454580,21753308,6,0,2.852954614,262270,10878428,0,0,210,70004,1,0,8548,1
cprog4,2.906278621,258110,4518380,3,0,2.882187874,451290,9032932,6,0,2.881629908,257300,4518424,0,0,1801190,3155436,124,0,8648,1
cprog5,2.922483765,268580,3721116,4,0,2.966636952,447990,7439024,8,0,2.700726095,264570,3721404,0,0,1800290,3166204,124,0,8632,1
nfsa2fsa,7.289526023,169250,1034716,38,0,6.523205832,172080,1058640,53,0,5.427842504,1800030,979568,0,124,210,68588,1,0,8444,1
orbits,3.049236401,454920,11940,5,0,2.954838261,459240,18184,9,0,2.973485698,450790,11920,0,0,616740,441984,0,20,9144,1
po1,4.916383728,388930,2175616,12,0,7.733363394,491930,4516324,38,0,3.891194932,1800040,1332616,0,124,1800100,3023508,124,604690,31663304,0
po2,5.182337573,353670,1768776,14,0,7.452986857,483970,3254160,36,0,3.850767487,1800000,1001072,0,124,1800010,3028752,124,306840,26821176,0
po3,4.49059381,372790,1490936,8,0,6.661905202,488460,3446812,30,0,3.694287252,1800000,1095132,0,124,1801330,3018856,124,1709690,23158692,0
po4,4.067072652,513300,515296,6,0,4.96654122,569510,1105996,18,0,3.316089173,1800010,420604,0,124,1800020,2941284,124,1085000,5487868,0
po5,4.874085555,404990,1738256,10,0,6.10143823,500280,3342736,26,0,3.600265073,1800010,1161396,0,124,1800410,3031580,124,1788620,20777496,0
pointsto,4.046838926,788060,34796,16,0,3.94471522,446310,43268,20,0,3.714485253,1800000,32288,0,124,1800540,3973496,124,1800010,3057564,124
ranpo,4.632276197,466280,3772004,10,0,5.163395107,490270,5134304,18,0,3.342653319,1800060,2517084,0,124,1800770,3656472,124,616330,31673080,0
sequences,5.108224632,386500,6110144,28,0,4.824882536,455270,8060964,36,0,4.2949186,1800020,786468,0,124,1800720,3164712,124,10,8440,1
tak,3.991738713,441190,12668,4,0,3.988895732,463120,39108,11,0,3.513668701,473300,12444,0,0,190,71876,1,0,8304,1
tc,3.20373205,493020,18256,12,0,2.960601707,495740,21616,16,0,3.010634591,492620,18264,0,0,731870,561940,0,180,9932,1
topological_ordering,3.339218177,397430,15460,16,0,3.403971612,467830,22412,24,0,3.11820834,1800000,14320,0,124,1801120,3154124,124,0,8436,1
