benchmark,Auto-Index compile time [s],Auto-Index runtime [ms],Auto-Index memory [kb],Auto-Index #index,Auto-Index exit code,Naive-Index compile time [s],Naive-Index runtime [ms],Naive-Index memory [kb],Naive-Index #index,Naive-Index exit code,Single-Index compile time [s],Single-Index runtime [ms],Single-Index memory [kb],Single-Index #index,Single-Index exit code,bddbddb runtime [ms],bddbddb memory [kb],"bddbddb exit_code (0=OK,1=Translation Error, 124=Timeout)",z3 runtime [ms],z3 memory [kb],"z3 exit_code (0=OK,1=Translation Error, 124=Timeout)"
access-policy,4.092391914,102170,131748,10,0,4.687906775,60690,268300,18,0,4.0224587,41220,95708,0,0,180150,1197524,124,3810,420704,0
access1,3.313601582,59600,100612,10,0,3.545674662,63720,162612,16,0,3.062250765,58130,80004,0,0,180010,445216,124,180000,118252,124
access2,4.517647534,30770,851504,12,0,5.712528375,63350,1437512,24,0,3.292732348,125310,523272,0,0,180110,1318976,124,84510,1353604,0
access3,4.56688996,31030,857204,12,0,5.616748446,63850,1508136,24,0,3.375667724,127350,526948,0,0,180420,1275976,124,83830,1355900,0
cellular_automata,5.155776607,61260,33660,20,0,5.195754037,61860,46728,27,0,5.225421985,61960,33800,0,0,180430,1260744,124,,,1
components,4.268318792,60050,5244,19,0,4.131912828,60190,6080,37,0,4.099474671,58090,5384,0,0,65360,182084,0,180000,172240,124
cprog1,2.978384899,59490,11020,5,0,3.070573471,60870,18748,8,0,3.003437586,59230,11156,0,0,180190,1267428,124,,,1
cprog2,3.157655092,64110,5024,4,0,3.106295083,59900,6720,8,0,3.106185843,64290,4960,0,0,180080,1296156,124,,,1
cprog3,3.019873309,35380,1456216,3,0,3.025006943,59860,2908816,6,0,2.907935351,33690,1456288,0,0,,,1,,,1
cprog4,3.120548749,33900,825304,3,0,2.93115782,55940,1647196,6,0,2.897147738,34500,825148,0,0,180010,1268240,124,,,1
cprog5,2.942450859,34920,588372,4,0,2.957772723,55690,1173228,8,0,3.082452086,33820,588400,0,0,180360,1268116,124,,,1
family,3.157967986,43740,13263716,8,0,3.17757125,58470,20744420,12,0,3.127889465,43480,13263688,0,0,180190,1183280,124,,,1
nfsa2fsa,6.515897155,38900,276368,38,0,6.517323853,40390,287480,53,0,5.60387626,180010,261416,0,124,,,1,,,1
orbits,3.115198567,53580,6496,5,0,2.972506937,55650,8492,9,0,2.936463439,52630,6488,0,0,74960,199288,0,20,8952,1
po1,5.086453091,44160,344148,12,0,7.971687153,57140,710484,38,0,3.903997097,180000,211968,0,124,180050,959412,124,68510,6623364,0
po2,5.29048769,40290,292220,14,0,7.585450973,56050,534824,36,0,3.857932203,180000,166624,0,124,180180,1032092,124,43090,5118968,0
po3,4.608576674,49340,225288,8,0,6.685652337,58720,516816,30,0,3.737471946,180000,166224,0,124,180450,1128408,124,180020,1844832,124
po4,4.112421492,50410,95220,6,0,5.158879769,58060,200756,18,0,3.392579277,180000,78216,0,124,180470,1134732,124,148860,806012,0
po5,4.834070018,50400,248592,10,0,6.248059081,56060,475096,26,0,3.701375886,180000,166872,0,124,180370,1045984,124,180020,2023760,124
pointsto,4.197852875,81870,14236,16,0,4.14869437,58820,17132,20,0,3.762139274,180000,13080,0,124,180410,945984,124,180000,1103912,124
ranpo,4.598849985,54550,595976,10,0,5.275359654,58270,810292,18,0,3.403012703,180010,399252,0,124,180240,1029696,124,91350,6898920,0
sequences,5.026872062,48030,1008276,28,0,4.967301368,59030,1323080,36,0,4.33186423,180020,850336,0,124,180360,1196708,124,,,1
tak,4.03929019,54080,6808,4,0,4.06518209,54990,16588,11,0,3.759400722,67440,6772,0,0,,,1,,,1
tc,3.021229244,58680,8180,12,0,3.166037251,58580,9528,16,0,3.086895075,58550,8228,0,0,98270,271244,0,50,9356,1
topological_ordering,3.38994383,51620,8828,16,0,3.445296566,59910,11540,24,0,3.428843179,180000,8412,0,124,180210,1305788,124,,,1
trans,3.215822066,42120,6570976,4,0,3.218824667,59390,13138524,8,0,3.232685939,42380,6570792,0,0,180010,1030540,124,28830,2412524,0
x9,3.134806419,43410,10386952,4,0,3.082147006,59310,17847372,8,0,3.23893691,44710,10386748,0,0,180010,1035176,124,31960,2411720,0
